dataset,noise_mode,noise_axis,noise_level,ctr,train_size,metric,opc,no_propensity,delta,delta_std,lift_pct,n_seeds,initial_reward,delta_se
ml,kmeans_templates,action,high,0.05,25000,oracle,0.04880690227606804,0.049636199482403595,-0.0008292972063355594,0.00014373376929494781,-1.670335703811291,5,0.048331868542897075,6.427969576115507e-05
ml,kmeans_templates,action,high,0.05,25000,selected,0.0481929663501402,0.049346963249623885,-0.0011539968994836807,0.0005657439783533208,-2.3323516024592608,5,0.048331868542897075,0.00025300839869183897
ml,kmeans_templates,action,high,0.05,50000,mean_trials,0.04844528635871499,0.049447696052947784,-0.001002409694232792,0.00011299735333288155,-2.026896529143168,5,0.048331868542897075,5.053395266597711e-05
ml,kmeans_templates,action,high,0.05,50000,oracle,0.04896787240132046,0.04979974579904116,-0.0008318733977207005,0.00013134509330859183,-1.6703090290803497,5,0.048331868542897075,5.873931142981282e-05
ml,kmeans_templates,action,high,0.05,50000,selected,0.048522567164388145,0.04957597575477546,-0.001053408590387321,0.0004919028671768479,-2.1205751605727254,5,0.048331868542897075,0.0002199856498668964
ml,kmeans_templates,action,high,0.05,100000,mean_trials,0.048482807018410984,0.04965726481148849,-0.001174457793077506,4.0309778508382674e-05,-2.3651262245585962,5,0.048331868542897075,1.8027080980540746e-05
ml,kmeans_templates,action,high,0.05,100000,oracle,0.0491259145436497,0.04985199014695514,-0.00072607560330544,0.00025574237955587186,-1.456525753395912,5,0.048331868542897075,0.00011437146908289638
ml,kmeans_templates,action,high,0.05,100000,selected,0.04840091903718246,0.04975528343033744,-0.0013543643931549804,0.00015344449152881036,-2.7213154055138125,5,0.048331868542897075,6.862246276626211e-05
ml,kmeans_templates,action,low,0.05,5000,mean_trials,0.049392810583689425,0.049722072523119984,-0.0003292619394305682,0.00021661564067932548,-0.6621611538941132,5,0.04941795061153628,9.68734595097281e-05
ml,kmeans_templates,action,low,0.05,5000,oracle,0.04966557492110184,0.0499249611866794,-0.0002593862655775603,0.00011481970846386331,-0.5195617727432948,5,0.04941795061153628,5.134893465638126e-05
ml,kmeans_templates,action,low,0.05,5000,selected,0.049445025141736224,0.0498304179282443,-0.0003853927865080806,0.00011627101643774602,-0.7735957798177394,5,0.04941795061153628,5.1997979313559103e-05
ml,kmeans_templates,action,low,0.05,25000,mean_trials,0.04938455091516401,0.049829470735472385,-0.0004449198203083676,7.704999114797762e-05,-0.8928816944041449,5,0.04941795061153628,3.4457803574527e-05
ml,kmeans_templates,action,low,0.05,25000,oracle,0.04963487839018244,0.049965777922955056,-0.00033089953277261883,5.537293644237825e-05,-0.6622495555767882,5,0.04941795061153628,2.4763529999786625e-05
ml,kmeans_templates,action,low,0.05,25000,selected,0.04944329436781816,0.04988133623638288,-0.00043804186856472027,0.00012785919837513514,-0.8780565207605854,5,0.04941795061153628,5.718037182308656e-05
ml,kmeans_templates,action,low,0.05,50000,mean_trials,0.04941511666292199,0.04991199270280193,-0.0004968760398799427,4.34023840563796e-05,-0.9955146075566317,5,0.04941795061153628,1.941013622712357e-05
ml,kmeans_templates,action,low,0.05,50000,oracle,0.049691526822920065,0.04997261067985192,-0.0002810838569318588,0.00011161471020392523,-0.5624850390952201,5,0.04941795061153628,4.991561586098324e-05
ml,kmeans_templates,action,low,0.05,50000,selected,0.049466759206331826,0.04995105357653546,-0.00048429437020363757,0.00010318833450192081,-0.9695503654788601,5,0.04941795061153628,4.614722608625636e-05
ml,kmeans_templates,action,low,0.05,100000,mean_trials,0.04944048247120685,0.04995671350579623,-0.0005162310345893775,4.862330965841454e-05,-1.0333514354068323,5,0.04941795061153628,2.17450051374474e-05
ml,kmeans_templates,action,low,0.05,100000,oracle,0.04963919722405524,0.04997909601599354,-0.0003398987919383006,6.579402777070194e-05,-0.6800833776893267,5,0.04941795061153628,2.9423983721759697e-05
ml,kmeans_templates,action,low,0.05,100000,selected,0.04945483874829098,0.0499727026288688,-0.0005178638805778193,4.9472878372284816e-05,-1.0362828721137993,5,0.04941795061153628,2.2124943816601598e-05
ml,kmeans_templates,action,medium,0.05,5000,mean_trials,0.04899031951019936,0.04945917849301582,-0.0004688589828164627,7.814786132119988e-05,-0.948075941128692,5,0.04896870281320162,3.494878604208589e-05
ml,kmeans_templates,action,medium,0.05,5000,oracle,0.04932764129517098,0.04983340475283536,-0.0005057634576643794,0.0002211283253203502,-1.0147758211200322,5,0.04896870281320162,9.88915934333982e-05
ml,kmeans_templates,action,medium,0.05,5000,selected,0.04882705051692684,0.04967567123400298,-0.0008486207170761414,0.00030171223721535883,-1.7060438441473635,5,0.04896870281320162,0.00013492981441141683
ml,kmeans_templates,action,medium,0.05,25000,mean_trials,0.04892738033797721,0.04956123597513973,-0.0006338556371625239,4.3115957573375766e-05,-1.278911359480042,5,0.04896870281320162,1.9282042409813016e-05
ml,kmeans_templates,action,medium,0.05,25000,oracle,0.04933120242708018,0.049908074889035356,-0.0005768724619551815,7.339852115869922e-05,-1.155846888536925,5,0.04896870281320162,3.2824816551761614e-05
