dataset,noise_mode,noise_axis,noise_level,ctr,train_size,seed,metric,no_propensity,opc,delta,lift_pct,initial_reward
ml,kmeans_templates,action,extreme,0.05,100000,2,oracle,0.0492932544308142,0.0485537635415573,-0.0007394908892568997,-1.5001867857899622,0.0474672099741214
ml,kmeans_templates,action,extreme,0.05,100000,2,selected,0.0492986598905107,0.0466427107515357,-0.002655949138975003,-5.387467214877043,0.0474672099741214
ml,kmeans_templates,action,extreme,0.05,100000,3,mean_trials,0.04868520867566154,0.04736636981170917,-0.0013188388639523707,-2.708910775628816,0.0470871931671049
ml,kmeans_templates,action,extreme,0.05,100000,3,oracle,0.049108742144491,0.0485442006731304,-0.0005645414713605981,-1.149574284960439,0.0470871931671049
ml,kmeans_templates,action,extreme,0.05,100000,3,selected,0.048899754983919,0.0472676262688435,-0.0016321287150754954,-3.3377032576384718,0.0470871931671049
ml,kmeans_templates,action,extreme,0.05,100000,4,mean_trials,0.04877618314549815,0.04743515093136669,-0.0013410322141314615,-2.7493586575464413,0.0473316286445249
ml,kmeans_templates,action,extreme,0.05,100000,4,oracle,0.0491275167383084,0.048116079025426,-0.001011437712882396,-2.058800810694554,0.0473316286445249
ml,kmeans_templates,action,extreme,0.05,100000,4,selected,0.0491407014150767,0.0480407765158817,-0.0010999248991949984,-2.2383174588906742,0.0473316286445249
ml,kmeans_templates,action,high,0.05,5000,0,mean_trials,0.04851167467937319,0.04826408532177339,-0.00024758935759979644,-0.5103706669295208,0.0482957077058575
ml,kmeans_templates,action,high,0.05,5000,0,oracle,0.0490618392458133,0.0489895090360621,-7.233020975120491e-05,-0.1474266168229256,0.0482957077058575
ml,kmeans_templates,action,high,0.05,5000,0,selected,0.048941543093604,0.0478166866700018,-0.0011248564236021955,-2.2983673020910516,0.0482957077058575
ml,kmeans_templates,action,high,0.05,5000,1,mean_trials,0.04867726252878297,0.04840796434206112,-0.00026929818672184747,-0.5532319870342152,0.048376614634751
ml,kmeans_templates,action,high,0.05,5000,1,oracle,0.049270325451945,0.0487972771531035,-0.0004730482988414969,-0.9601079239934731,0.048376614634751
ml,kmeans_templates,action,high,0.05,5000,1,selected,0.0489957381113899,0.0480620803157933,-0.0009336577955966,-1.9055898157385962,0.048376614634751
ml,kmeans_templates,action,high,0.05,5000,2,mean_trials,0.0488223909672222,0.04844144254213353,-0.0003809484250886716,-0.7802740044919723,0.0484063424369392
ml,kmeans_templates,action,high,0.05,5000,2,oracle,0.0496937926649307,0.0489319098359429,-0.0007618828289878005,-1.5331549236439488,0.0484063424369392
ml,kmeans_templates,action,high,0.05,5000,2,selected,0.0489314170430669,0.0488131245953114,-0.00011829244775550529,-0.241751526736678,0.0484063424369392
ml,kmeans_templates,action,high,0.05,5000,3,mean_trials,0.048479968752267705,0.04837445173601712,-0.00010551701625058363,-0.2176507513644962,0.0481926027612877
ml,kmeans_templates,action,high,0.05,5000,3,oracle,0.0490044412641085,0.0487625887364981,-0.00024185252761040055,-0.49353185419856327,0.0481926027612877
ml,kmeans_templates,action,high,0.05,5000,3,selected,0.0483613237703755,0.0482842063500169,-7.71174203585967e-05,-0.1594609376797833,0.0481926027612877
ml,kmeans_templates,action,high,0.05,5000,4,mean_trials,0.04884809689775154,0.04825614554933119,-0.0005919513484203484,-1.2118206972513512,0.04838807517565
ml,kmeans_templates,action,high,0.05,5000,4,oracle,0.049558323347783,0.0486947929411412,-0.0008635304066417979,-1.742452827917206,0.04838807517565
ml,kmeans_templates,action,high,0.05,5000,4,selected,0.0491361934367782,0.0484270767911564,-0.0007091166456218018,-1.4431656097540342,0.04838807517565
ml,kmeans_templates,action,high,0.05,25000,0,mean_trials,0.04906442095956924,0.048078896991972674,-0.0009855239675965674,-2.0086326269063135,0.0482957077058575
ml,kmeans_templates,action,high,0.05,25000,0,oracle,0.0497112303273453,0.0487704631850654,-0.0009407671422798983,-1.8924640088064735,0.0482957077058575
ml,kmeans_templates,action,high,0.05,25000,0,selected,0.0493982483493064,0.0482203758166635,-0.0011778725326429054,-2.384441902299647,0.0482957077058575
ml,kmeans_templates,action,high,0.05,25000,1,mean_trials,0.049038904037264,0.04831427631038149,-0.000724627726882511,-1.477658893705855,0.048376614634751
ml,kmeans_templates,action,high,0.05,25000,1,oracle,0.0495033441292083,0.0487728882584978,-0.0007304558707105016,-1.4755687389602292,0.048376614634751
ml,kmeans_templates,action,high,0.05,25000,1,selected,0.0492603216359863,0.0484776273682777,-0.0007826942677085988,-1.58889394489218,0.048376614634751
ml,kmeans_templates,action,high,0.05,25000,2,mean_trials,0.04933632956120992,0.04848585611090582,-0.000850473450304097,-1.723827973965804,0.0484063424369392
ml,kmeans_templates,action,high,0.05,25000,2,oracle,0.0497332106952909,0.0488652038262032,-0.0008680068690877021,-1.7453264266525452,0.0484063424369392
ml,kmeans_templates,action,high,0.05,25000,2,selected,0.049667680332543,0.0484093959338356,-0.0012582843987073988,-2.5334068156248324,0.0484063424369392
ml,kmeans_templates,action,high,0.05,25000,3,mean_trials,0.048947916500916025,0.04829595705350064,-0.0006519594474153831,-1.3319452471550697,0.0481926027612877
ml,kmeans_templates,action,high,0.05,25000,3,oracle,0.0495412355969928,0.0489073517163166,-0.0006338838806762004,-1.2795076122701263,0.0481926027612877
ml,kmeans_templates,action,high,0.05,25000,3,selected,0.048710290001289,0.0481768133114045,-0.0005334766898845017,-1.0952032719788458,0.0481926027612877
ml,kmeans_templates,action,high,0.05,25000,4,mean_trials,0.04919060543942831,0.048191327288245114,-0.0009992781511831972,-2.0314410490712,0.04838807517565
ml,kmeans_templates,action,high,0.05,25000,4,oracle,0.0496919766631807,0.0487186043942572,-0.0009733722689234947,-1.9588117323670795,0.04838807517565
ml,kmeans_templates,action,high,0.05,25000,4,selected,0.0496982759289947,0.0476806193205197,-0.002017656608474999,-4.059812077500799,0.04838807517565
ml,kmeans_templates,action,high,0.05,50000,0,mean_trials,0.049302027394087795,0.04839667348566014,-0.0009053539084276571,-1.8363421471309016,0.0482957077058575
ml,kmeans_templates,action,high,0.05,50000,0,oracle,0.0497680508347141,0.048894302839543,-0.0008737479951710994,-1.7556403767407436,0.0482957077058575
ml,kmeans_templates,action,high,0.05,50000,0,selected,0.049319529949705,0.0485450586265453,-0.0007744713231597061,-1.5703136748251563,0.0482957077058575
ml,kmeans_templates,action,high,0.05,50000,1,mean_trials,0.04940645367694676,0.04852132012250474,-0.0008851335544420164,-1.79153428058129,0.048376614634751
ml,kmeans_templates,action,high,0.05,50000,1,oracle,0.0497546159652247,0.0491526200496619,-0.0006019959155628002,-1.209929780150563,0.048376614634751
ml,kmeans_templates,action,high,0.05,50000,1,selected,0.0492217117035173,0.0488614110479268,-0.00036030065559049945,-0.7319953799265233,0.048376614634751
ml,kmeans_templates,action,high,0.05,50000,2,mean_trials,0.04953860998026788,0.04846596166345028,-0.0010726483168175954,-2.165277381107081,0.0484063424369392
ml,kmeans_templates,action,high,0.05,50000,2,oracle,0.0498376691695937,0.0489138122504039,-0.0009238569191898013,-1.8537321961145259,0.0484063424369392
ml,kmeans_templates,action,high,0.05,50000,2,selected,0.0498333234643544,0.0484241932804791,-0.0014091301838752984,-2.8276865477038555,0.0484063424369392
ml,kmeans_templates,action,high,0.05,50000,3,mean_trials,0.049450898259246374,0.04845576777571428,-0.0009951304835320932,-2.0123607832462835,0.0481926027612877
