dataset,noise_mode,noise_axis,noise_level,ctr,train_size,seed,method,reward,initial_reward,metric
ml,kmeans_templates,action,low,0.05,5000,1,opc,0.0492771501156165,0.0494137412479531,selected
ml,kmeans_templates,action,low,0.05,5000,2,no_propensity,0.0498877030496914,0.049422432069098,selected
ml,kmeans_templates,action,low,0.05,5000,2,opc,0.0495204808380401,0.049422432069098,selected
ml,kmeans_templates,action,low,0.05,5000,3,no_propensity,0.0499315803756355,0.0494175204532242,selected
ml,kmeans_templates,action,low,0.05,5000,3,opc,0.049720927336767,0.0494175204532242,selected
ml,kmeans_templates,action,low,0.05,5000,4,no_propensity,0.0496958228653672,0.0494217371956612,selected
ml,kmeans_templates,action,low,0.05,5000,4,opc,0.0493017018378778,0.0494217371956612,selected
ml,kmeans_templates,action,low,0.05,25000,0,no_propensity,0.0498465654222913,0.0494143220917449,selected
ml,kmeans_templates,action,low,0.05,25000,0,opc,0.0495393884326453,0.0494143220917449,selected
ml,kmeans_templates,action,low,0.05,25000,1,no_propensity,0.0499371123008511,0.0494137412479531,selected
ml,kmeans_templates,action,low,0.05,25000,1,opc,0.0493358111094728,0.0494137412479531,selected
ml,kmeans_templates,action,low,0.05,25000,2,no_propensity,0.0498816904179436,0.049422432069098,selected
ml,kmeans_templates,action,low,0.05,25000,2,opc,0.0494039527362099,0.049422432069098,selected
ml,kmeans_templates,action,low,0.05,25000,3,no_propensity,0.049873549466211,0.0494175204532242,selected
ml,kmeans_templates,action,low,0.05,25000,3,opc,0.0495649294236237,0.0494175204532242,selected
ml,kmeans_templates,action,low,0.05,25000,4,no_propensity,0.0498677635746174,0.0494217371956612,selected
ml,kmeans_templates,action,low,0.05,25000,4,opc,0.0493723901371391,0.0494217371956612,selected
ml,kmeans_templates,action,low,0.05,50000,0,no_propensity,0.0499070470227704,0.0494143220917449,selected
ml,kmeans_templates,action,low,0.05,50000,0,opc,0.0494868131615463,0.0494143220917449,selected
ml,kmeans_templates,action,low,0.05,50000,1,no_propensity,0.0499409435066731,0.0494137412479531,selected
ml,kmeans_templates,action,low,0.05,50000,1,opc,0.0493064260799659,0.0494137412479531,selected
ml,kmeans_templates,action,low,0.05,50000,2,no_propensity,0.0499613319415662,0.049422432069098,selected
ml,kmeans_templates,action,low,0.05,50000,2,opc,0.0494172828717423,0.049422432069098,selected
ml,kmeans_templates,action,low,0.05,50000,3,no_propensity,0.0499686746650745,0.0494175204532242,selected
ml,kmeans_templates,action,low,0.05,50000,3,opc,0.0495281492939221,0.0494175204532242,selected
ml,kmeans_templates,action,low,0.05,50000,4,no_propensity,0.0499772707465931,0.0494217371956612,selected
ml,kmeans_templates,action,low,0.05,50000,4,opc,0.0495951246244825,0.0494217371956612,selected
ml,kmeans_templates,action,low,0.05,100000,0,no_propensity,0.0499817801676232,0.0494143220917449,selected
ml,kmeans_templates,action,low,0.05,100000,0,opc,0.0494025895936156,0.0494143220917449,selected
ml,kmeans_templates,action,low,0.05,100000,1,no_propensity,0.049973562245896,0.0494137412479531,selected
ml,kmeans_templates,action,low,0.05,100000,1,opc,0.0494132145673425,0.0494137412479531,selected
ml,kmeans_templates,action,low,0.05,100000,2,no_propensity,0.0499747909905942,0.049422432069098,selected
ml,kmeans_templates,action,low,0.05,100000,2,opc,0.0494917315154067,0.049422432069098,selected
ml,kmeans_templates,action,low,0.05,100000,3,no_propensity,0.0499554828632689,0.0494175204532242,selected
ml,kmeans_templates,action,low,0.05,100000,3,opc,0.0494899006613627,0.0494175204532242,selected
ml,kmeans_templates,action,low,0.05,100000,4,no_propensity,0.0499778968769617,0.0494217371956612,selected
ml,kmeans_templates,action,low,0.05,100000,4,opc,0.0494767574037274,0.0494217371956612,selected
ml,kmeans_templates,action,medium,0.05,5000,0,no_propensity,0.0497800958699027,0.0489544608348695,selected
ml,kmeans_templates,action,medium,0.05,5000,0,opc,0.0488009392871807,0.0489544608348695,selected
ml,kmeans_templates,action,medium,0.05,5000,1,no_propensity,0.0492416930291467,0.0489734201804317,selected
ml,kmeans_templates,action,medium,0.05,5000,1,opc,0.0488251482515707,0.0489734201804317,selected
ml,kmeans_templates,action,medium,0.05,5000,2,no_propensity,0.0497120772858539,0.048996904473098,selected
