dataset,noise_mode,noise_axis,noise_level,train_size,metric,reward,initial_reward,ctr,pct_vs_logging,pct_vs_ctr,restored_ctr,reward_over_ctr,action_delta,context_delta,conv_dr,conv_sndr,struggle,struggle_worse_than_logging,struggle_low_restore,n_seeds,reward_std,restored_ctr_std,pct_vs_logging_std,reward_se,restored_ctr_se
ml,kmeans_templates,action,extreme,5000,oracle,0.047925793639783776,0.04733241011515314,0.05,1.2551005300299045,-4.148412720432448,0.21870135983093472,0.9585158727956756,,,,,True,0.0,0.6,5,0.00014800516455359822,0.08560248246845739,0.5466254385644667,6.618992179257758e-05,0.03828259396844094
ml,kmeans_templates,action,extreme,5000,selected,0.047265719196078956,0.04733241011515314,0.05,-0.14153098988627852,-5.468561607842087,-0.023172985670282274,0.9453143839215791,0.20986501574516292,0.20297303795814509,0.04874306246638296,0.04873592033982272,True,0.8,1.0,5,0.00029049194119348993,0.03934970958816169,0.24184879274251278,0.00012991194548490296,0.01759772510680096
ml,kmeans_templates,action,extreme,25000,mean_trials,0.04737514615253457,0.04733241011515314,0.05,0.0904182435873912,-5.249707694930866,0.01566399421808536,0.9475029230506914,,,,,True,0.4,1.0,5,0.00019041261570335776,0.032618991091305116,0.17974180878549403,8.515511049725037e-05,0.014587656287523657
ml,kmeans_templates,action,extreme,25000,oracle,0.047848689663322216,0.04733241011515314,0.05,1.0907512352661581,-4.302620673355567,0.19435732088354693,0.9569737932664444,,,,,True,0.0,0.8,5,0.0002391210450046178,0.05698026897903803,0.29917817880183367,0.00010693818229622239,0.025482350962670316
ml,kmeans_templates,action,extreme,25000,selected,0.0472733288938287,0.04733241011515314,0.05,-0.12418638926643229,-5.453342212342601,-0.024244080482291496,0.9454665778765741,0.2008197277784347,0.19088471829891202,0.04695573598146437,0.0469450511038303,True,0.8,1.0,5,0.00027487799399377583,0.10054334541802568,0.5795471194164474,0.00012292917601777233,0.044964351007989484
ml,kmeans_templates,action,extreme,50000,mean_trials,0.047492535757784816,0.04733241011515314,0.05,0.33840994788713014,-5.014928484430378,0.05993106815061842,0.9498507151556963,,,,,True,0.0,1.0,5,0.0001782402273588998,0.013213092083980362,0.08219441909044059,7.971145293990354e-05,0.005909074418548889
ml,kmeans_templates,action,extreme,50000,oracle,0.04805052268573728,0.04733241011515314,0.05,1.5180489824668426,-3.898954628525447,0.26751329833514675,0.9610104537147455,,,,,False,0.0,0.4,5,0.00014933187362107628,0.06134406578163794,0.39493267648652836,6.678324412482684e-05,0.02743390022079224
ml,kmeans_templates,action,extreme,50000,selected,0.04731993154183524,0.04733241011515314,0.05,-0.02592313070682859,-5.360136916329528,-0.005780779448787113,0.9463986308367047,0.20121300518512722,0.2038051694631576,0.048326555639505345,0.0483233474195003,True,0.4,1.0,5,0.00038369777527996664,0.13016990589111327,0.780190058480817,0.00017159486166828876,0.05821375163945592
ml,kmeans_templates,action,extreme,100000,mean_trials,0.047500966870271916,0.04733241011515314,0.05,0.35639641718924125,-4.998066259456172,0.06259996090625917,0.9500193374054383,,,,,True,0.0,1.0,5,0.00016277493345281637,0.02613143637484063,0.16334345742233128,7.279516324670039e-05,0.011686333616770865
ml,kmeans_templates,action,extreme,100000,oracle,0.048234901023106416,0.04733241011515314,0.05,1.908801661125264,-3.5301979537871646,0.3331983104670014,0.9646980204621285,,,,,False,0.0,0.2,5,0.00029673597787663927,0.1382566057548332,0.870858345624171,0.00013270436358040781,0.061830233761239126
ml,kmeans_templates,action,extreme,100000,selected,0.04742226190562104,0.04733241011515314,0.05,0.19086622284095328,-5.155476188757926,0.030538278570199417,0.9484452381124207,0.20985947549343104,0.21160508394241329,0.050292744487524,0.050158248841762475,True,0.2,0.8,5,0.0005403605899928339,0.21704583838964125,1.181125474666285,0.00024165660231717384,0.09706584977453427
ml,kmeans_templates,action,high,5000,mean_trials,0.04834881789826327,0.048331868542897075,0.05,0.03530542184718003,-3.302364203473465,0.008309869127219899,0.9669763579652653,,,,,True,0.4,1.0,5,8.441340811627169e-05,0.06648104353997149,0.2367665673372219,3.775082375208319e-05,0.0297312265140999
ml,kmeans_templates,action,high,5000,oracle,0.04883521554054956,0.048331868542897075,0.05,1.0416926583393633,-2.3295689189008844,0.30032950117046825,0.9767043108109912,,,,,False,0.0,0.2,5,0.0001220540350136239,0.08108657883037973,0.30565802271026293,5.45842238437205e-05,0.03626302046552489
ml,kmeans_templates,action,high,5000,selected,0.04828063494445596,0.048331868542897075,0.05,-0.10619997202020648,-3.438730111088087,-0.02893811396112883,0.9656126988891192,0.2063021600246429,0.20584386587142944,0.04560639858245844,0.045609479397535305,True,0.4,0.8,5,0.0003768346204735311,0.2125198562884106,0.7243823351713132,0.0001685255655308299,0.09504176904587446
ml,kmeans_templates,action,high,25000,mean_trials,0.04827326275100115,0.048331868542897075,0.05,-0.1211328122054341,-3.4534744979977106,-0.03611891397029633,0.9654652550200229,,,,,True,0.6,1.0,5,0.0001515623208735432,0.08915257592387237,0.30946489059869353,6.778073046017557e-05,0.039870244026997945
ml,kmeans_templates,action,high,25000,oracle,0.04880690227606804,0.048331868542897075,0.05,0.9832573135796199,-2.3861954478639253,0.28222152895506636,0.9761380455213609,,,,,False,0.0,0.4,5,7.708832186372222e-05,0.07119765613045999,0.3033725392459005,3.4474945591733226e-05,0.03184055978927263
ml,kmeans_templates,action,high,25000,selected,0.0481929663501402,0.048331868542897075,0.05,-0.2871353331213865,-3.6140672997196064,-0.08553732259031181,0.963859327002804,0.20047100186347958,0.20098578929901117,0.04913831874728199,0.04916144534945484,True,0.6,1.0,5,0.0003128039874354535,0.20121243373361816,0.6697737022113381,0.00013989019590773282,0.0899849359493084
ml,kmeans_templates,action,high,50000,mean_trials,0.04844528635871499,0.048331868542897075,0.05,0.23491795256105016,-3.1094272825700124,0.06610943626001434,0.9689057271743,,,,,True,0.2,1.0,5,5.502955949649827e-05,0.05523547217016693,0.20652863725481013,2.4609967161207845e-05,0.024702054108358216
ml,kmeans_templates,action,high,50000,oracle,0.04896787240132046,0.048331868542897075,0.05,1.3161113093921277,-2.0642551973590857,0.38049400149803697,0.9793574480264091,,,,,False,0.0,0.0,5,0.0001050524052435352,0.06555061084421424,0.25228933814478194,4.698086386488001e-05,0.02931512436285958
ml,kmeans_templates,action,high,50000,selected,0.048522567164388145,0.048331868542897075,0.05,0.3943611971540602,-2.9548656712237245,0.11609374810319743,0.9704513432877627,0.19339614212512965,0.18768181800842282,0.04821833446621894,0.04822456762194628,True,0.0,0.8,5,0.0002400893095242253,0.11985201011913064,0.403584981680294,0.0001073712033534311,0.05359944837327375
ml,kmeans_templates,action,high,100000,mean_trials,0.048482807018410984,0.048331868542897075,0.05,0.3125815626180383,-3.0343859631780403,0.0884032726779804,0.9696561403682196,,,,,True,0.0,1.0,5,4.599345771852581e-05,0.055685638846003055,0.21652869641760342,2.056889959577722e-05,0.024903374766033153
ml,kmeans_templates,action,high,100000,oracle,0.0491259145436497,0.048331868542897075,0.05,1.6438083585160919,-1.7481709127006055,0.4697799907743924,0.9825182908729939,,,,,False,0.0,0.0,5,0.0002641658102052629,0.17771100546558843,0.7032100647635482,0.00011813854179005511,0.07947477771417848
ml,kmeans_templates,action,high,100000,selected,0.04840091903718246,0.048331868542897075,0.05,0.14306842309096113,-3.198161925635087,0.039834924421918216,0.9680183807436492,0.1588859066367149,0.1456645309925079,0.04842480123043056,0.04842647314071652,True,0.2,1.0,5,5.445896192680254e-05,0.04736351366093068,0.17113787199918543,2.435478817048068e-05,0.021181607239816186
ml,kmeans_templates,action,low,5000,mean_trials,0.049392810583689425,0.04941795061153628,0.05,-0.05085780376677294,-1.2143788326211629,-0.044238419570548825,0.9878562116737883,,,,,True,0.4,0.8,5,0.00021285686119524718,0.3707738900828602,0.4348038169731655,9.519248222196197e-05,0.1658151245014621
ml,kmeans_templates,action,low,5000,oracle,0.04966557492110184,0.04941795061153628,0.05,0.5010819865519979,-0.6688501577963246,0.42543031419818333,0.9933114984220367,,,,,False,0.0,0.4,5,0.00012122651934507863,0.20859451976974305,0.24531013103509883,5.421414758625782e-05,0.09328630518781385
ml,kmeans_templates,action,low,5000,selected,0.049445025141736224,0.04941795061153628,0.05,0.05478303588282174,-1.109949716527564,0.046787323897870034,0.9889005028347244,0.21591548323631288,0.20772064924240113,0.04993115589022632,0.049901970475912036,True,0.6,0.8,5,0.00018176356037407778,0.3109789555304695,0.3664265096448627,8.1287135365765e-05,0.1390740168276028
ml,kmeans_templates,action,low,25000,mean_trials,0.04938455091516401,0.04941795061153628,0.05,-0.06758839961154436,-1.2308981696719705,-0.05722199041238714,0.9876910183032803,,,,,True,0.8,1.0,5,7.922375400393017e-05,0.13454883635871712,0.1583467889123975,3.54299398771018e-05,0.060172068878317345
ml,kmeans_templates,action,low,25000,oracle,0.04963487839018244,0.04941795061153628,0.05,0.43896150060021705,-0.7302432196351238,0.3730039515614528,0.9926975678036488,,,,,False,0.0,0.0,5,5.3849200030572576e-05,0.08983370867357104,0.10387113882792652,2.4082094360468804e-05,0.04017485585300346
ml,kmeans_templates,action,low,25000,selected,0.04944329436781816,0.04941795061153628,0.05,0.05128827262229273,-1.1134112643636869,0.04327059086919457,0.9888658873563632,0.21809971630573263,0.1950329720973968,0.05051975250244136,0.05053099542856212,True,0.6,0.8,5,0.00010266082605617338,0.1776648225667715,0.2098360284018104,4.5911317137577065e-05,0.07945412409394795
ml,kmeans_templates,action,low,50000,mean_trials,0.04941511666292199,0.04941795061153628,0.05,-0.005738202111972473,-1.1697666741560337,-0.004613964642536439,0.9883023332584397,,,,,True,0.4,1.0,5,5.665317437711833e-05,0.09348703728537368,0.11040533526088456,2.5336069809677176e-05,0.04180867407703059
ml,kmeans_templates,action,low,50000,oracle,0.049691526822920065,0.04941795061153628,0.05,0.5535970080933768,-0.6169463541598863,0.47002494132828654,0.993830536458401,,,,,False,0.0,0.0,5,0.00011435933879322083,0.1965755660005505,0.2313571245446005,5.114305108071411e-05,0.08791126565854547
