dataset,noise_mode,noise_axis,noise_level,train_size,seed,reward,initial_reward,ctr,action_delta,context_delta,conv_dr,conv_sndr,metric,pct_vs_initial,pct_vs_ctr,restored_ctr,reward_over_ctr
ml,kmeans_templates,context,low,100000,0,0.0494050155055283,0.0493921732446926,0.05,0.1363725960254669,0.1039983928203582,0.0487914234399795,0.0487915761768817,selected,0.02600059886428702,-1.1899689889433989,0.02112815983102176,0.988100310110566
ml,kmeans_templates,context,low,100000,1,0.0496098895479251,0.0494842785581161,0.05,0.2191390693187713,0.1754488348960876,0.0504894368350505,0.0504900999367237,selected,0.2538401962584437,-0.7802209041498087,0.2435636365052945,0.9921977909585019
ml,kmeans_templates,context,low,100000,2,0.0494374147288142,0.0494173384520355,0.05,0.192986860871315,0.1832298040390014,0.0500674322247505,0.0500669665634632,selected,0.040625977455647444,-1.1251705423716007,0.03445615529090646,0.988748294576284
ml,kmeans_templates,context,low,100000,3,0.0495074722002861,0.0494008502741158,0.05,0.1801497340202331,0.1511362344026565,0.0500698238611221,0.0500653497874736,selected,0.21583014377013734,-0.9850555994278115,0.1779553950608026,0.9901494440057219
ml,kmeans_templates,context,low,100000,4,0.0495233666147076,0.0494797975761023,0.05,0.209778755903244,0.1810604333877563,0.0479531995952129,0.0479506440460681,selected,0.08805419734850066,-0.9532667705848125,0.08375400921597262,0.9904673322941518
ml,kmeans_templates,context,medium,5000,0,0.0490324287471553,0.049136977115994,0.05,0.2125348299741745,0.2442731857299804,0.049889750778675,0.0498813949525356,selected,-0.21276923200199938,-1.9351425056894078,-0.12114205865944468,0.980648574943106
ml,kmeans_templates,context,medium,5000,1,0.0495150124328331,0.0494402888742142,0.05,0.2210692912340164,0.260637491941452,0.0441716015338897,0.044268786907196,selected,0.1511390008440511,-0.9699751343338059,0.13350379361137807,0.990300248656662
ml,kmeans_templates,context,medium,5000,2,0.0492376065093001,0.0492065579942153,0.05,0.1790420860052108,0.1505983173847198,0.0534052066504955,0.0533773452043533,selected,0.063098327439302,-1.5247869813998087,0.03913142341650213,0.9847521301860019
ml,kmeans_templates,context,medium,5000,3,0.0493771393229496,0.0492010900159723,0.05,0.1895391196012497,0.175453245639801,0.0523924268782138,0.0523865036666393,selected,0.3578158673316869,-1.2457213541008094,0.22036188118434039,0.987542786458992
ml,kmeans_templates,context,medium,5000,4,0.049301745793577,0.0493947719733825,0.05,0.2214671075344085,0.2341213971376419,0.0484652891755104,0.0484679639339447,selected,-0.18833203614266944,-1.396508412846012,-0.15370434896315674,0.9860349158715399
ml,kmeans_templates,context,medium,25000,0,0.0490468377764173,0.049136977115994,0.05,0.2009054869413375,0.215392604470253,0.0510321594774723,0.0510376915335655,selected,-0.1834450242307558,-1.9063244471654028,-0.10444605959726659,0.980936755528346
ml,kmeans_templates,context,medium,25000,1,0.0494258600628003,0.0494402888742142,0.05,0.1967179626226425,0.1444514989852905,0.0506225526332855,0.0506255291402339,selected,-0.02918431858399526,-1.148279874399402,-0.025779032699485824,0.988517201256006
ml,kmeans_templates,context,medium,25000,2,0.049169823745995,0.0492065579942153,0.05,0.1977193504571914,0.2068532109260559,0.0514347180724144,0.0514256171882152,selected,-0.07465315542821253,-1.660352508009999,-0.046297332322310515,0.9833964749199
ml,kmeans_templates,context,medium,25000,3,0.0492519499533419,0.0492010900159723,0.05,0.2004907578229904,0.2243746519088745,0.0498207136988639,0.0498077198863029,selected,0.10337156626629229,-1.496100093316202,0.0636616619974992,0.985038999066838
ml,kmeans_templates,context,medium,25000,4,0.049409200506507,0.0493947719733825,0.05,0.2037239074707031,0.2303536385297775,0.0443998612463474,0.0444145575165748,selected,0.02921064830966696,-1.1815989869859989,0.023839829766550604,0.98818401013014
ml,kmeans_templates,context,medium,50000,0,0.0492616673365531,0.049136977115994,0.05,0.2077943831682205,0.1840825974941253,0.050003346055746,0.049992635846138,selected,0.2537604628480819,-1.4766653268938057,0.14448078129783962,0.985233346731062
