dataset,noise_mode,noise_axis,noise_level,ctr,metric,n_train_small,n_train_large,R_at_n_small,R_at_n_large,reward_delta_large_minus_small,lift_pct_large_vs_small,slope_per_10k,restored_at_n_small,restored_at_n_large,restored_delta_large_minus_small,struggle_flat_learning,struggle_regress_learning,struggle_low_restore_at_large_n,struggle_learning
ml,kmeans_templates,action,low,0.05,oracle,5000,100000,0.04966557492110184,0.04963919722405524,-2.6377697046595094e-05,-0.0531106245895641,-1.4001647724433481e-06,0.42543031419818333,0.37963114702755474,-0.045799167170628596,True,False,False,True
ml,kmeans_templates,action,low,0.05,selected,5000,100000,0.049445025141736224,0.04945483874829098,9.813606554755216e-06,0.019847510495998547,1.3525428947542599e-06,0.046787323897870034,0.06369277087988272,0.016905446982012684,True,False,True,True
ml,kmeans_templates,action,medium,0.05,mean_trials,5000,100000,0.04899031951019936,0.04904379207486858,5.347256466921996e-05,0.1091492466345059,8.364481555209713e-06,0.01902071231678436,0.07254129329720041,0.05352058098041605,True,False,True,True
ml,kmeans_templates,action,medium,0.05,oracle,5000,100000,0.04932764129517098,0.04940643071618206,7.878942101107594e-05,0.15972671496617694,8.862927646084521e-06,0.34672658603964657,0.42600736482089896,0.07928077878125239,True,False,False,True
ml,kmeans_templates,action,medium,0.05,selected,5000,100000,0.04882705051692684,0.04913549703782158,0.00030844652089474095,0.6317123758843718,1.965509694528892e-05,-0.13567670783655356,0.15798757527144228,0.29366428310799586,False,False,True,True
ml,kmeans_templates,combined,brutal,0.05,mean_trials,5000,100000,0.04699468179799689,0.04717439073281925,0.000179708934822366,0.38240270589517206,1.933462854021169e-05,-0.008434010395646202,0.06750892904473707,0.07594293944038327,True,False,True,True
ml,kmeans_templates,combined,brutal,0.05,oracle,5000,100000,0.047531755673019,0.04787871289787038,0.0003469572248513825,0.7299482628796097,3.978543367802614e-05,0.18382538890107186,0.2896814436417877,0.10585605474071585,False,False,False,False
ml,kmeans_templates,combined,brutal,0.05,selected,5000,100000,0.04679489483418434,0.04709008901551872,0.0002951941813343767,0.6308256111705867,2.3883541005497493e-05,-0.0833732416681149,0.04909287656638188,0.13246611823449678,False,False,True,True
ml,kmeans_templates,combined,extreme,0.05,mean_trials,5000,100000,0.04673297321510593,0.046984648094190416,0.0002516748790844861,0.5385381279424672,2.3700373907889927e-05,0.005005672696274057,0.07392214035113989,0.06891646765486584,False,False,True,True
ml,kmeans_templates,combined,extreme,0.05,oracle,5000,100000,0.04748907519312884,0.04770036400743148,0.00021128881430264312,0.44492088642150346,1.838080778688376e-05,0.2447535450125436,0.30586600994270186,0.06111246493015826,True,False,False,True
