scope,metric,train_size,n_cells,mean_reward,mean_logging_reward,mean_restored_ctr,mean_pct_vs_logging,frac_struggle,frac_worse_than_logging,frac_low_restore
level=high,mean_trials,100000,4,0.04854411170954253,0.04831200788622676,0.0809222907921744,0.4942960339462368,1.0,0.25,1.0
level=low,mean_trials,100000,4,0.04942963275954857,0.04941830073200257,0.002157976494123387,0.02318646360760367,1.0,0.5,1.0
level=medium,mean_trials,100000,4,0.04908345618285129,0.04895070870824765,0.10114634988184333,0.27403885220428853,1.0,0.25,1.0
all,oracle,5000,20,0.04891687630618393,0.04834466399554957,0.3864497526053913,1.1961336362442485,0.2,0.0,0.2
axis=action,oracle,5000,5,0.048612227790934034,0.04817510725013254,0.2884899424704622,0.9123298695335661,0.4,0.0,0.4
axis=combined,oracle,5000,5,0.04835842266567829,0.047614204771747035,0.3557137019882127,1.5728958410923846,0.4,0.0,0.4
axis=context,oracle,5000,5,0.049426131940366644,0.04872548403788305,0.5215756968099216,1.4591189273141336,0.0,0.0,0.0
axis=metadata,oracle,5000,5,0.04927072282775678,0.04886385992243565,0.3800196691529688,0.8401899070369108,0.0,0.0,0.0
level=brutal,oracle,5000,4,0.048053549337520686,0.04736142250415731,0.2736110305006688,1.4685579231682513,0.5,0.0,0.5
level=extreme,oracle,5000,4,0.048436551964688164,0.04768088014711353,0.3522913506317458,1.5918861022702986,0.5,0.0,0.5
level=high,oracle,5000,4,0.04897319694819771,0.04831200788622676,0.4101980699547997,1.3826366207651162,0.0,0.0,0.0
level=low,oracle,5000,4,0.049672359817461334,0.04941830073200257,0.43330907652242956,0.5143746550973124,0.0,0.0,0.0
level=medium,oracle,5000,4,0.04944872346305179,0.04895070870824765,0.46283923541731303,1.0232128799202653,0.0,0.0,0.0
all,oracle,25000,20,0.04893263476723938,0.04834466399554957,0.3617598655382245,1.2334736045061014,0.2,0.0,0.2
axis=action,oracle,25000,5,0.04862298438828836,0.04817510725013254,0.2818990829864118,0.9366299059448492,0.4,0.0,0.4
axis=combined,oracle,25000,5,0.048419039843464184,0.047614204771747035,0.3638199027637018,1.7092787695626028,0.2,0.0,0.2
axis=context,oracle,25000,5,0.0493164263526093,0.04872548403788305,0.41567784906893374,1.2322624953341605,0.0,0.0,0.0
axis=metadata,oracle,25000,5,0.049372088484595705,0.04886385992243565,0.38564262733385013,1.0557232471827929,0.2,0.0,0.2
level=brutal,oracle,25000,4,0.0482575549843092,0.04736142250415731,0.3520437881851023,1.8994022372681005,0.5,0.0,0.5
level=extreme,oracle,25000,4,0.04841487355705846,0.04768088014711353,0.3187997745661096,1.55408457831773,0.25,0.0,0.25
level=high,oracle,25000,4,0.04896520996161455,0.04831200788622676,0.38166434230924484,1.3705445327751715,0.0,0.0,0.0
level=low,oracle,25000,4,0.049641765757702495,0.04941830073200257,0.36961750616101696,0.4525961001587618,0.25,0.0,0.25
level=medium,oracle,25000,4,0.049383769575512236,0.04895070870824765,0.3866739164696481,0.8907405740107426,0.0,0.0,0.0
all,oracle,50000,20,0.04900784592107161,0.04834466399554957,0.4184591548859496,1.390700128003682,0.1,0.0,0.05
axis=action,oracle,50000,5,0.048695079590740646,0.04817510725013254,0.3371588096539794,1.0855430400882056,0.2,0.0,0.2
axis=combined,oracle,50000,5,0.04858275629130417,0.047614204771747035,0.4169698964433485,2.0601908620378,0.2,0.0,0.0
axis=context,oracle,50000,5,0.04937071645426275,0.04872548403788305,0.4871607788306488,1.3424075229300823,0.0,0.0,0.0
axis=metadata,oracle,50000,5,0.049382831347978835,0.04886385992243565,0.4325471346158215,1.0746590869586392,0.0,0.0,0.0
level=brutal,oracle,50000,4,0.048136265181086595,0.04736142250415731,0.3099822198504548,1.643262056247098,0.5,0.0,0.25
level=extreme,oracle,50000,4,0.048672390341342735,0.04768088014711353,0.43415477231525323,2.0983115223833835,0.0,0.0,0.0
level=high,oracle,50000,4,0.049109415930142154,0.04831200788622676,0.4561914717761436,1.6737475174986085,0.0,0.0,0.0
